content,pos,neg,query
Es bonito que te despierten con un mensaje pero es horrible cuando el que lo env'ia es Movistar.,0,1,movistar
Pqe el internet de mi casa es tan pote? Ah si pqe es movistar --',0,1,movistar
Si aqui en venezuela colocaran al menos 1 starbucks Yo seria Feliz :D,1,0,starbucks
"Viendo el Uruguay Vs Brasil, gracias Blackberry de @Iusacell, definitivamente la conexion m'as rapida... http://twitpic.com/5modbg",1,0,iusacell
"De verdad, de verdad que odio los mensajes de Movistar. Son crueles hasta decir basta",0,1,movistar
"HOygan!! kieren saber como termino mi viaje al soporte tecnico de iusacell? lean esto http://bit.ly/mfeDm , rt x fas",0,1,iusacell
Eso!!@marielajfn26: @Presid_Movistar BUEN DIA EXCELENT GRACIIIIAS YA TENGO MIS MEGAS DE REGALO ME SIENTO SATISFECHA DE PERTENECER A MOVISTAR,1,0,movistar
Movistar no se entera de nada :P He llamado para que me liberen el iPhone (sin haber pagado la multa) y no me han puesto pegas :P,0,1,movistar
Pinche servicio de internet de telmex es una porquer'ia est'a lentisssssssssimo,0,1,telmex
No confi'o en el servicio HD de #TELMEX !!,0,1,telmex
"Starbucks me acaba de regalar un caf'e, me aliviaron la espera",1,0,starbucks
"Los anuncios de movistar y derivados de timofonica son cutres, estupidos y sin gracia.",0,1,movistar
"iPad2 3G $11,500, iPhone 4 jail $12,499 Hp TouchSmart 16,500.Que NO tengas internet porque #Telmex no arregla tu linea NO TIENE PRECIO #kpm",0,1,telmex
ODIO A MOVISTAR!!!,0,1,movistar
Pinche megacable no se ve ningun canal pero eso si el que se ve es donde se ve la programaci'on que tienen malditos,0,1,megacable
Movistar me acaba de cagar el dÃƒÂ_a Ã‚Â¬Ã‚Â¬ http://y.ahoo.it/UwppTB9W,0,1,movistar
Gracias a movistar no pudimos ller esto ayer / RT @andieaguilera: HOY en la @Zona058 presentamos a @channelband (cont) http://tl.gd/bmhs7b,0,1,movistar
Hoy movistar a estado de un calembe.... Bueno maj de lo normal #QeMunga :),0,1,movistar
Telcel Un celular q nos vendieron no funcionaba y tuvimos q esperar hasta q venci'o el plazo para que nos dieran otro. Eso si cobran muy bien,0,1,telcel
va'ina si ?RT @soyunbarroso: Que verga tan arrecha con Movistar y estos megas que no me duran ni medio d'ia.,0,1,movistar
"Ya estoy bien harta de la conexcion de internet de telmex, me llaman para ver que pasa, pero no me dan solucion, ni lo que pago!",0,1,telmex
aaa vamos a ver si me llevan a starbucks,1,0,starbucks
"Cortamos Movistar x mal servicio y cobros indebidos. Mi viejo quiso reponerlo por Copa Am'erica y le dijeron: No, est'a castigado x 3 meses.",0,1,movistar
Ya estoy mamado de Telmex antes ten'ian un excelente servicio ahora lo estoy dudando mucho ?,0,1,telmex
movistar asi o mas mierdero? ni equipos tienen :s,0,1,movistar
#FF para @Presid_Movistar por su gran desempe'no en Movistar :D,1,0,movistar
Maldito telcel que no manda mis pins a @iitziieCordova desde las 5pm D:,0,1,telcel
"Que bueno que voy a estar cerca de un Starbucks, tengo que pasar y agarrar provisiones de edulcorante",1,0,starbucks
#Telcel me has dejado pobre..!! #TuMuyMal jajaja,0,1,telcel
mejor me cambio a TELCEL por que en MOVISTAR  no me cortan en una llamadas : ose cuando se termino,0,1,telcel
@sof_roso: Definitivamente el PEOR servicio en mexico lo encuentras en #thehomedepot//// no el peor es en @telcel,0,1,telcel
Desde que #claro compro #telmex este servicio es una #mierda...,0,1,telmex
Movistar me va sacar canas azules.,0,1,movistar
"Estoy jodido, sin #Telmex sin #Infinitum y mi #Iusacell trabaja como si el internet fuera de conexion telefonica de los 90,s #nomamar",0,1,telmex
por fin me libre de la asquerosidad de servicio de @telcel eso merece un festejito jijiji,0,1,telcel
Movistar decide ponerse idiota justo ahora.,0,1,movistar
Ganadores de premios MOVISTAR en la Plaza Alfredo Sadel disfruta  todos los partidos de f'utbol http://twitpic.com/5n80b4,1,0,movistar
Movistar te odio te odio te odio te odio,0,1,movistar
Llamadas y mensajes gratis los fines de semana en Movistar http://goo.gl/RTh4f,1,0,movistar
Â¡Â¡Â¡Â¡Batista pone al nenito de la propaganda de Movistar QUE LA ROMPE !!!!!,0,1,movistar
ah me re lleva la chingada con @iusacell que no me dan mi nip de portabilidad para cambiarme de compa'nia!!,0,1,iusacell
TODO EL DIA LLAMANDO A MOVISTAR Y NO T ATIENDEN! Y EN CASA CENTRAL (SAN JUAN) T DICEN FUE UN ERROR EN EL SISTEMA!,0,1,movistar
"La informaci'on m'as relevante del d'ia, hoy a las 8:30 pm con Mario Romero, canal 210 de MEGACABLE.",1,0,megacable
#Netflix llegar'a a M'exico!! yey!!! bye Megacable!! jejeje,0,1,megacable
"Est'a ganando mi mal humor por la falta de #plandedatos de #telcel, as'i que se me hace que me voy a ir a mi casa a rumiar mi enojo.",0,1,telcel
Puto Telcel te odio,0,1,telcel
"Oye @Telmex, tengo que rogarles para que me instalen una linea nueva??? que les da lo mismo que la gente los contrate?? #PESIMOSERVICIO",0,1,telmex
"Jala pero no te guindes won! RT @Indiferencia: #LoMejorDelBicentenario, los sms gratis de Movistar hasta laâ€_ (cont) http://deck.ly/~bBH4U",1,0,movistar
"3G de TELCEL hoy un verdadero fiasco, espero que me repongan mi d'ia!.. #TELCELCHAFA",0,1,telcel
El Parque Tecnol'ogico de Fuente 'alamo y Movistar crean un nuevo espacio para los desarrolladores de tecnolog'ias m'oviles,1,0,movistar
"C'omo saltarse el capado de Telefonica a Youtube http://t.co/61EZ6oK Juro que a mi me pasaba,y la gente no se cre'ia que no pudiera ver YTB",0,1,movistar
"Ojala y movistar no lo agarre el gobierno, porque hay si es verdad que se acabo movistar",0,1,movistar
TRIPLE SALDO MOVISTAR En Recargas Electr'onicas desde Q10 / DOBLE SALDO PLAN JUSTO desde Q10 este S'abado 8 de Julio... http://fb.me/FrLumE8L,1,0,movistar
good night! Pero antes #telcel eres una shit! Cada dia te odio mas!,0,1,telcel
A disfrutar de mi tarde y de un caf'e a @Starbucks con mi amiga @MillyCafeina!!! :) xoxo,1,0,starbucks
verga or que mi cel es mas loque esta sin servicio que lo que sirve â€œ@anahicq: @el_yerbatero movistar no sirve eso es lo que pasa .....â€ù,0,1,movistar
Telmex como que pago bien la publicidad porque esas jugaditas no quieren salir de arribita jejejejeje,0,1,telmex
ah me cago en telmex,0,1,telmex
Jajajaja... No es solo el tuyo!!RT @seXcape: Menos mal que ya tengo EDGE y ya puedo Twittear que Movistar es un verdadero pup'u de perro.,0,1,movistar
Con raz'on. Me quede herida. RT @FabiGraterol92: Asi es como Movistar me deja sin MB! Sufro...,0,1,movistar
"Quiero un StarBucks en Venezuela, period.",1,0,starbucks
"De noche y de dia.. la banda ancha de TELMEX esta fallando en la costa oaxaque'na, no es posible que no tengamos conectabilidad efectiva",0,1,telmex
Por q tanta cola en telcel....esta de wueba!!!,0,1,telcel
"Llevo 3 d'ias y 7 maneras distintas de pagarle al se'nor Movistar. Y sigo como Argentina, aislado del mundo.",0,1,movistar
Buenos dias fia! Yo bien! Ayer movistar no tuvo salida! Toda la red mala. Yo bien. Hoy trando de cocinar una comida de mariscos.,0,1,movistar
Si hacen #twittgdl por que no hacer #twittdf y que patrocine @pumamexico @HpnotiqMX @Telcel y dem'as seria como la posada,1,0,telcel
No te imaginas toda historia de terror q hay detras.. RT @xrea84: Maldito Movistar!!! No puede ser q este tan mala la senal ...,0,1,movistar
bueno pero que pasa con movistar? es con todo el mundo o soy yo la unica que no tengo se'nal e internet desde ayer?,0,1,movistar
#Tipo que me despierta un mensaje de Telcel.! #NoMamar! :@,0,1,telcel
"No, ahora no es solo movistar, ahora es movistar y el wi-fi, que shitttttt !!!",0,1,movistar
"Che Telcel, no me ha dejado ni tuitear ni facebukear a gusto. El servicio de internet es p'esimo.",0,1,telcel
"Con el Hospital de Boca del R'io, habr'a ni'nos que nazcan en este municipio. @Salvador_Manzur por canal 210 de #megacable con @maryjosegamboa",0,1,megacable
"Me cortaron el BB, telcel deberia cerrar mas tarde -.-",0,1,telcel
Me tiene con fatiga la operadora de movistar,0,1,movistar
Gracias @Telcel por haberme dejado ya por m'as de 12 horas sin red...,0,1,telcel
Aaaaaaaaaaaah me caga!!!!!!! #Telcel te odio!!!!! Ya no se pueden mandar mensajes por #HeyWire a Telcel..,0,1,telcel
"#Telmex y #Ol'impica , acaban de perder un cliente! P'esimo servicio. Gracias por nada.",0,1,telmex
"Primer'o ir'e a Starbucks, aunque sea por un popote, el chiste es despegarme del ex-mayor en Foursquare #IHaveNoLife http://twitpic.com/5ma8sh",1,0,starbucks
esperamos q movistar atarpe este vagabundo de contratista de la gobernacion de aragua por muchas personas sufrimos mal servicio de la red 3G,0,1,movistar
caf'e mas galleta de Starbucks = buen desayuno y buen humor,1,0,starbucks
"De buenas que de Movistar me marco una se'norita, porque si me marcaba un hombre... Mas me enojaba!",1,0,movistar
"Peleando otra vez con #Movistar, otra vez sus cuentas y las m'ias no cuadra!!!",0,1,movistar
"Y ya te creces solo por q compras tu cafesito de 50 varos en @starbucks, y faroleas tu vasiito todo el dia #decerebrado",0,1,starbucks
"SMS libres para cualquier operadora, solo debes marcar desde tu movistar 8986+04XX+ el numero @Presid_Movistar Feliz Bicentenario",1,0,movistar
#skype es una buena opci'on para no pagarle a TELMEX,0,1,telmex
"PTM :@ Pinche Telcel,le acabo de poner saldo y dicen que tu saldo amigo se ha agotado .i.",0,1,telcel
quiero un @starbucks,1,0,starbucks
Buena esa!!! paaapi move el cable alla q los pin no quieren salir #Movistar =),1,0,movistar
Movistar me regalo 40 bfs pueden creer eso? Yo no,1,0,movistar
"Puta cobertura telcel, podrian estarme violando, asaltando, secuestrando aqui y mi celular sin se'nal!",0,1,telcel
un movistar generoso q me tranfiera 2 bolos fuertes :$,0,1,movistar
Reiniciando el port'atil del curro... recordemos juntos al imb'ecil que decidi'o que la 3G USB de Movistar estaba lista para vender...,0,1,movistar
Pues no est'a nada mal la happy hour del Starbucks... para ir de vez en cuando a por un frappuccino :),1,0,starbucks
"Despu'es de una ma'nana de informaci'on, un almuerzo con toda la fuerza comercial de Canarias d #Movistar #megustamitrabajo http://t.co/gCybivb",1,0,movistar
Me Desperte por que me llego un mensaje super rom'antico dec'ia: oferta TELCEL recarga tu saldo por...-.- me levanto!,0,1,telcel
Oralee! Como? RT @Syn_Van_Der_Sar: #YoConfieso q me emocione pq hoy en @Starbucks me gane un frappe :D!!,1,0,starbucks
"Bien me dec'ia mi madre: Mijo, las drogas son malas, nunca te metas en eso. Y ah'i voy de pendejo a telcel.",0,1,telcel
Al fiin en Casaaa!!! =D y cn movistar en orden,1,0,movistar
"Starbucks le pone mil huevadas al caf'e para que creamos que es buen caf'e... Â¡y le creemos! No jodas pues, el caf'e all'i es una mierda.",0,1,starbucks
Movistar invita a la premiaci'on del concurso period'istico interuniversitario ETECOM ma'nana a 12h00 en el Hotel Plaza Grande @tctelevision,1,0,movistar
"Bueno, si no funciona su Wi-fi...  con'ectese en la ma'nana porfavor Respuesta de Servicio T'ecnico Movistar.",0,1,movistar
"Ya quiero tener Pin, tengo que llamar a Movistar",0,1,movistar
"Llevo horas intentando entrar en la p'ag. de Movistar para recargar y no abre, qu'e mierda.",0,1,movistar
Acabo de calificar Starbucks con 4 estrellas en @GooglePlaces Le gust'o: Frapuccino y galleta de chocolate. http://goo.gl/qC6st.,1,0,starbucks
"Odio @telcel  es un robo!!! De la nada me bajan mas de $20 en cuesti'on de segundos, sin ocupar el tel'efono. Es una porquer'ia",0,1,telcel
espero que no est'es as'i esta noche #movistar odio que se me corten las llamadas =S,0,1,movistar
Pues yo no se Uds. @iusacell dice q tiene red 4G pero yo con @Telcel tengo 5G :P jajaja  http://lockerz.com/s/119233640,0,1,telcel
"Alguien sabe si #telcel tiene problemas en la red, de repente se me cortan las llamadas y hay localidades que no pueden marcar a los telcel",0,1,telcel
"@yaazminx3: Ayer mi EDGE se puso edge una mierda con #telcel, horas sin internet en mi telefono El mio tmb Ã¶ toda la nocheee):",0,1,telcel
Telcel gracias por hacerme la vida imposible!!!!,0,1,telcel
Ahora telcel llena mi bandeja de mensajes :3 Antes lo hac'ias tu&lt;/3 Todo es hermoso cuando est'as aqui. Pero cuando te vas es diferente.,0,1,telcel
Pinche #Telcel rata de MIERDA!!!,0,1,telcel
Desde las 8:55pm no tengo data... Gracias a la eficiencia de movistar...,0,1,movistar
A quien mas le esta molestando #Telmex,0,1,telmex
#T'ipico que el de la caja del Starbucks se anda ligando a tus acompa'nantes.,0,1,starbucks
"Movistar no tiene perdon! RT @daniielasays Me dan risa las actualizaci'ones, todo el mundo maldiciendo a movistar",0,1,movistar
"senores MOVISTAR ESTA LOCO ....no me llegan los sms, asi q no me formen los pedos a mi si no a movistar. GRACIAS",0,1,movistar
Soy yo o no hay red ni Internet en #Telcel?,0,1,telcel
Soy m'as mala que la se'nal de iusacell,0,1,iusacell
Esto va pa largo #nomamar #Telcel,0,1,telcel
Movistar no me deja pasar credito -.- #TeOdio,0,1,movistar
telcel de putas no me deja actualizar mi android,0,1,telcel
#Yque se me antojo un STARBUCKS ! :p ma'nana ire por el ...,1,0,starbucks
"No he podido twittear en la noche, dado que @IUSACELL me tiene aislado,",0,1,iusacell
no puedo creer que enrealidad valla a llamar de mi casa a un movistar D:,0,1,movistar
Lo primero que har'e cuando tenga dinero ser'a irme s'olo a starbucks o a la pizzeria xD.,0,1,starbucks
ayer me tome el starbucks que estuve esperando por a'nooooooooos (dias) #quefelizsoy,1,0,starbucks
Movistar despliega en Campus Party el nuevo protocolo de Internet IPv6: Movistar desplegar'a por primera vez en laâ€_,1,0,movistar
Internet hogar de movistar es una mierda y el servicio tecnico ni hablar,1,0,movistar
Definitivamente movistar y mi telefono me tienen loco... #fail,0,1,movistar
"En M'exico, el servicio de mensajer'ia por lechuzas ser'ia m'as eficiente que @Telcel. #LCV",0,1,telcel
"Hay telmex que falla y falla, claro que los cobros si llegan puntales  malo malo =/",0,1,telmex
UFF Fallas en interr de la Office :s @Edgar_Rm aki est'a un TÃ¨cnico de Telmex deberias de ser tÃ_!! :( jaja qe chidoo!1 pero ps noo TQmm,0,1,telmex
Sufriendo porque #telcel no explica los costos y se cobra a lo chino,0,1,telcel
Muy mal ha estado la conexi'on de los tel'efonos Movistar hoy :S @MovistarVe ya env'ie el correo y aun nada,0,1,movistar
y que Telcel no quiere que hable contigo ... jeje...,0,1,telcel
"Mi mes gratis de internet se acaba hoy o ma'nana :/, tengo que ir a Telcel!",1,0,telcel
PÃ¨simo el servicio de internet en mi linea de BB . . Y eso solo sucede en telcel,0,1,telcel
"Q onda con las sritas de atenci'on a clientes en megacable?!p'esimo servicio!feas,nefastas y groseras!!cancelare!!!",0,1,megacable
Telmex realiza y hace lo que quiere y los medios no lo atacan saben porque la pauta publicitaria de ellos compra esconder sus fechorias,0,1,telmex
"Huelga en el Starbucks de San Mart'in #Vi'na: Mi hora vale menos que el caf'e con leche + peque'no!, dicen. http://twitpic.com/5rphhq",0,1,starbucks
Digan lo que quieran pero Sky esta mas jodido que Telcel,0,1,telcel
env'ien la palabra VOZ al 514 los que tienen Movistar y les van a obsequiar 30 min es de verdad! es hasta la 1 pm,1,0,movistar
asi como cuando quieres hablar con esa personita pero movistar no sirve#buenoasi:/,0,1,movistar
Demasiado RT @Pauita: Que pasa con mov'istar @Presid_Movistar esta muy malo,0,1,movistar
JAJAJA movistar ya me dio el bono de 50mb por su mal servicio jahjashjkdjdaskj,0,1,movistar
"Hasta las 10 pm SMS libres para cualquier operadora, solo debes marcar desde tu movistar 8986+04XX+ Nro.  gracias a @Presid_Movistar",1,0,movistar
Con quien me quejo por que @telmex no quiere abrirme el puerto 25 para usarlo con mi @infinitum?,0,1,telmex
El internet de Movistar es asi de lento o es solo el mio? Tipo morrocoy,0,1,movistar
anda estupido u.u @ricardo_bj10 A buenn problemita con Movistar ahoora! :( :'(,0,1,movistar
quien sabe si #Starbucks sigue en huelga?,0,1,starbucks
empresa numero uno en... Atencion.... @IUSACELL jajaja ya hablando enserio...,0,1,iusacell
Como saltarse el capado de Movistar a los v'ideos de YouTube: http://t.co/XNllNMn,0,1,movistar
No sabia esa! Digitel trajo el iPhone 4 y a buenos precios! Te jodiste Movistar!,0,1,movistar
La se'nal de movistar hoy est'a pasada de mierda.,0,1,movistar
EDGE de mierda como te odio movistar!!!,0,1,movistar
por que en #movistar no me dan respuesta!!!!!,0,1,movistar
Dia Starbucks :D alguien gusta algo ?,1,0,starbucks
INICIO LA SEMANa CON un PROBLEMA EN @IUSACELL (sin internet)y  contactar a ellos es perder la mitad de mi dia tanto en CAT y via telefonica,0,1,iusacell
"me le cae la red en el Starbucks, eso me pasa por venir a trabajar a una cafeter'ia donde explotan a sus trabajadores y me asaltan x un caf'e.",0,1,starbucks
"#terribleservicio el de TELCEL es una porqueria por eso, ya decidido ire por mi NEXTEL (: @luulut",0,1,telcel
Mas Incomunicado que #Iusacell,0,1,iusacell
"Movistar es un robo un fraude! Me cambiare a digitel, ya dije!",0,1,movistar
#Movistar vete a cuba q eres una Porquer'ia,0,1,movistar
"LA RED MOVISTAR ESTA CAIDA DESDE HACE RATO! NADA D MSJS D TEXTO,NI MODEM HUAWEI,ni @twitter PERO PA COBRAR LINCES! @MOVISTARVe @MAYER_32",0,1,movistar
gracias al excelente servicio de Telmex no he podido trabajar el dia de hoy,0,1,telmex
Me acabo de conectar y mi internet se ha ido 4 veces... pinche telmex,0,1,telmex
Alguien sabe que demonios le sucede a Movistar?,0,1,movistar
la forra que tengo al lado en starbucks es insoportable la estoy por matar no me puedo concentrar,0,1,starbucks
Para qu'e pagar una banda ancha de 4G con #Telmex si en los videos de Youtube se queda colgada?,0,1,telmex
un poco enojado saben que hay empresas como movistar que atropellan roban se burlan de los venezolanos y pido ayuda y nadie hace nada,0,1,movistar
Movistar desplegar'a IPv6 en las instalaciones de la Campus Party 2011 de Valencia http://t.co/WIN1OuZ v'ia @xatakaon,1,0,movistar
Gracias movistar por dejarme en Gsm,0,1,movistar
Dios dame paciencia porque esta banda ancha de #telcel esta acabando con la que tengo.,0,1,telcel
odiando a Movistar con todo mi &lt;3,0,1,movistar
As'i como cuando Movistar se pone basura.,0,1,movistar
"Hay cada q llueve tengo problemas con la red, la se'nal se cae ahhhh q coraje &gt;:0 #telcel falla mucho con este clima",0,1,telcel
No es posible @Telcel $20!!! por un minuto de mi llamada! #WTF!!! Abusan!!!,0,1,telcel
"Cuando me saquen la ves'icula, le voy a pasar factura a @telcel #fb",0,1,telcel
"Fui a un Starbucks y NO compre nada, superen eso novatos.",1,0,starbucks
Que mal esta funcionando movistar!!,0,1,movistar
voy a llamar a mi ppa ya q movistar no me deja hacer llamadas :/,0,1,movistar
Env'ia  cuadre al 2856 y movistar te cuadrar'a un culo para el mi'ercoles. Por el culo que no cuadraste ayer por culpa de las fallas de ayer.,0,1,movistar
Que porqueriaaaa #MOVISTAR,0,1,movistar
"Pinches idiotas de @telcel, servicio de imb'eciles en su call center, llaman y CUELGAN por que no quieres sus pinches planes idiotas.",0,1,telcel
Tomando un rico chocolate en @starbucks Mmm,1,0,starbucks
Â¿Conocen los beneficios de ser parte del mejor club? #ClubMovistarVe http://club.movistar.com.ve/web/index.php V'ia: MovistarVE,1,0,movistar
Un terrorista CSM!! Jajaja Movistar si tiene excusas para su incompetencia que pat'etico,0,1,movistar
Cosas q me ponen de malas : telcel!,0,1,telcel
mis canales se ven horrible  #megacable,0,1,megacable
"@nadimehu: Alguien tiene problemas con Iusacell??? no puedo hacer ninguna llamada, solo recibir/n seran travesuras de angie?",0,1,iusacell
#T'ipico buz'on telcel,0,1,telcel
MoviStar advierte: Q utilizar el vibrador del movil como consolador perjudica SERIAMENTE las relaciones de pareja #humorguayaco,0,1,movistar
Cuando van a sacar infinitum de verdad o que pedo? @telmex #JodeteSlim,0,1,telmex
"Dia 5 @iusacell El MiFi otra vez falla, esta vez hay que instalarle una aplicaci'on a su l'inea, no est'a actualizada, en 24h se arreglar'a.",0,1,iusacell
Creo que Movistar esta pote hoy ...,0,1,movistar
telcel eres una mierda!! :@,0,1,telcel
"Ya reinicie todo! Y aun asi sigue lento el internet de la oficina, solo me queda culpar a telmex!",0,1,telmex
"me vuelve el alma al cuerpo!..., telmex ya me lo puso! :D",1,0,telmex
"no lo creo, aun sigo sin se'nal TELCEL bye bye.... solo q termine mi contrato y me cambiooo de compa'nia oshhhhhhhhhhh",0,1,telcel
Q PEX CON LA COMUNICACION CON TELCEL!!!!,0,1,telcel
Movistar conmigo hace el papel de cortanota profesional.,0,1,movistar
"Chicos, si cargan de $30 en adelante se DUPLICA! Por si les interesa. #Movistar",1,0,movistar
UNEFON YA VALIO MADRE TELCEL DE LO MAS CARO DEL MUNDO MOVIESTAR TE ROBAN TUS BLOQUES DIOS MI LIBERANOS DE ESTE SECUESTRO,0,1,telcel
Telcel tiene cobertura en narnia? Porque en xonacatlan no.. Y pienso salir de vacaciones la proxima semana,0,1,telcel
"P1nch3 @Telcel no manches regresa la se?al, mi iphone de 4a generacion se ha vuelto un ladricell jaja, pisapapeles, cero se?al en #Uruapan",0,1,telcel
"casos como #jcpenney #carrefour tipicos de de modelos comerciales modernos para chile, ahora #starbucks, no porfavor",0,1,starbucks
#NadaMejorQue llegue un se'nor a Starbucks a veender boletos de loteria ! JAJAJAJAJA !,1,0,starbucks
Me gusta mucho que @IUSACELL enfoque su publicidad a android :) http://bit.ly/qC5vCI,1,0,iusacell
Lo q se alaba se caga Dice un dicho popular. Movistar a ti solo hay q decirte Merwe...,0,1,movistar
"Voy a comprar una #PlayBook a #Telcel y ninguno de los amables j'ovenes sabe que es eso, ni que paquete ni funciones, ni nada. #fb",0,1,telcel
"#Telmex llama por tel'efono para avisarte del aumento, pero realmente est'an haciendo una encuesta para saber si recomendar'ias el servicio.",0,1,telmex
"Y del streaming con las conexiones de telmex actuales, ni hablamos.",0,1,telmex
"estimado @IUSACELL hace mas de 1 mes q me est'an haciendo el tramite de la portabilidad  d mi linea, no ha quedado y me siguen cobrando!",0,1,iusacell
Vandalismo interrumpe 3G Movistar: Â¡eXtra'e! â€œAyer sufrimos un corte en la fibra 'optica de Movistar  en el munici... http://bit.ly/nYUFkU,0,1,movistar
Hay zonas que quedan incomunicadas debido a las lluvias y otras debido a la p'esima red de Telcel.,0,1,telcel
Â¡BINGO!.La se'nal de movistar hoy esta MIERDA.,0,1,movistar
inche se'nal de telmex,0,1,telmex
Ese momento en el que necesitas volver a wap y movistar te trolea pidiendo datos que no tienes. Â¿POR QU'e AHORA?,0,1,movistar
No me gusta Starbucks. #HeDicho,0,1,starbucks
Y que me debo quedar con un servicio p'esimo por un a'no...#TELMEXESLOPEOR #TELMEXESLOPEOR. #Telmex @TELMEXSoluciona @TelmexAyuda,0,1,telmex
Luego me llego un texto hoy como a las 3 de la ma'nana invitandome a usar el Messenger de Telcel y ya lo hice pero pues no s'e ni que pedo =S,0,1,telcel
"Tengo Una semana esperando a que  vengan los de megacable con las cajitas y  ni sus luces,  para eso me despertaron!!????? -.-'",0,1,megacable
WTF con #iusacell ... voy a cambiar el plan y me responden q no se puede pq no tienen chip???? ah??? y esa respuesta q??,0,1,iusacell
Movistar hoy mas q nunk debo decirte que apestas...,0,1,movistar
No entiendo x q telcel no me deja hacer llamadas!!!,0,1,telcel
El d'ia edge de quiÃ¨nes usamos Movistar!,1,0,movistar
"Ok, el consul de holanda vivito y coleando en starbucks tomando un cafe spresso! Un recien infartado puede tomar cafe?",0,1,starbucks
"Detesto que mi celular no entren las llamadas siempre llegan correos de Voz, me estas estresando Iusacell",0,1,iusacell
"Ay Movistar, no comiences a ponerte lento.",0,1,movistar
STARBUCKS FUNCIONA!,1,0,starbucks
"Cosas que sacan de quicio: #cablevision, #banamex, #telcel &lt;3",0,1,telcel
